FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
701,1776157463982,7.789374,-572.1495,105.6283,-364.3668,-0.205027,0.742796,-0.582011,0.259771,-0.555423,2.012252,-1.57668,-0.45817,0.061852,0.421818,0.906673,2.319451,0.034141
702,1776157463993,7.800485,-572.16,105.271,-364.5941,-0.204955,0.742765,-0.58207,0.259786,-0.555224,2.012152,-1.576828,-0.45816,0.061887,0.421813,0.906983,2.319339,0.033843
703,1776157464004,7.811596,-572.3185,105.6008,-364.6854,-0.205182,0.742548,-0.582112,0.260132,-0.555741,2.011207,-1.576661,-0.458151,0.061908,0.42181,0.907092,2.319191,0.033338
704,1776157464015,7.822708,-572.3552,105.4977,-364.5492,-0.204978,0.742544,-0.582246,0.260002,-0.555224,2.011331,-1.577131,-0.458139,0.061929,0.421831,0.907256,2.319185,0.033071
705,1776157464026,7.833819,-572.3241,105.5961,-364.6797,-0.20504,0.742381,-0.582384,0.260112,-0.555362,2.010775,-1.577414,-0.458142,0.061958,0.421784,0.907429,2.318898,0.032612
706,1776157464037,7.84493,-572.3139,105.4802,-364.581,-0.205085,0.742303,-0.582449,0.260155,-0.55547,2.010519,-1.577556,-0.458144,0.061976,0.421791,0.907508,2.318873,0.032361
707,1776157464049,7.856041,-572.272,105.6461,-364.7463,-0.205026,0.742134,-0.582629,0.260279,-0.555275,2.009934,-1.577945,-0.458132,0.062004,0.421798,0.907636,2.318842,0.032057
708,1776157464060,7.867153,-572.3584,105.4173,-364.4325,-0.205068,0.742083,-0.582646,0.260355,-0.555367,2.009717,-1.577928,-0.458136,0.062018,0.421797,0.907817,2.318692,0.031657
709,1776157464071,7.878264,-572.4949,105.4479,-364.6127,-0.205019,0.741971,-0.582806,0.260353,-0.555234,2.009417,-1.578362,-0.458136,0.062048,0.421782,0.907932,2.318602,0.031331
710,1776157464082,7.889375,-572.4829,105.2142,-364.5598,-0.204971,0.741805,-0.58302,0.260385,-0.555096,2.008932,-1.578917,-0.458142,0.062065,0.421775,0.907982,2.31853,0.030803
711,1776157464093,7.900486,-572.4891,105.226,-364.6799,-0.204988,0.741796,-0.582993,0.260456,-0.555121,2.008837,-1.578786,-0.458139,0.062087,0.421769,0.908152,2.318455,0.030619
712,1776157464104,7.911601,-572.4436,105.428,-364.9316,-0.205002,0.741671,-0.583084,0.260597,-0.555119,2.008354,-1.57892,-0.458138,0.062113,0.42175,0.908184,2.318384,0.030256
713,1776157464115,7.922712,-572.4017,105.4223,-364.9184,-0.205019,0.741453,-0.583298,0.260725,-0.555131,2.00763,-1.579394,-0.45813,0.062195,0.421731,0.908488,2.318251,0.02968
714,1776157464126,7.933823,-572.5281,105.7824,-364.9344,-0.205014,0.741351,-0.583392,0.260811,-0.555093,2.007265,-1.57958,-0.458118,0.062205,0.421744,0.908504,2.318275,0.029378
715,1776157464137,7.944935,-572.5356,105.5963,-364.9059,-0.204995,0.741412,-0.583377,0.260684,-0.555077,2.007563,-1.579643,-0.458121,0.062249,0.421717,0.908703,2.318158,0.028798
716,1776157464149,7.956046,-572.4553,105.6013,-365.0143,-0.205036,0.741306,-0.583435,0.260824,-0.555147,2.007131,-1.579684,-0.458111,0.062275,0.421712,0.908811,2.318031,0.028532
717,1776157464160,7.967157,-572.5185,105.6341,-365.0067,-0.20507,0.741206,-0.583489,0.260962,-0.555199,2.006717,-1.579719,-0.458115,0.06229,0.421711,0.908857,2.318007,0.028206
718,1776157464171,7.978269,-572.4789,105.5927,-364.9749,-0.20495,0.740961,-0.583741,0.261188,-0.55481,2.005823,-1.580218,-0.458098,0.062341,0.42171,0.909209,2.317882,0.027626
719,1776157464182,7.98938,-572.5289,105.5114,-365.0053,-0.205053,0.740854,-0.583816,0.261244,-0.555074,2.005474,-1.580375,-0.458089,0.062377,0.421717,0.909348,2.31786,0.027257
720,1776157464193,8.000491,-572.5476,105.3751,-365.0051,-0.205043,0.740764,-0.583867,0.261394,-0.555005,2.005076,-1.580392,-0.458104,0.062429,0.421652,0.909438,2.317617,0.026635
721,1776157464204,8.011603,-572.6359,105.435,-365.0887,-0.205121,0.740699,-0.583914,0.261408,-0.555212,2.004888,-1.58051,-0.458095,0.062464,0.421661,0.909511,2.317568,0.026303
722,1776157464215,8.022714,-572.5946,105.3879,-365.0779,-0.204965,0.740479,-0.584221,0.261468,-0.554771,2.00423,-1.581292,-0.458087,0.062502,0.421673,0.909677,2.31756,0.025925
723,1776157464226,8.033825,-572.6157,105.4189,-365.0316,-0.205107,0.740432,-0.584219,0.261495,-0.555148,2.004075,-1.581264,-0.458069,0.062548,0.421692,0.909899,2.317486,0.025246
